Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,9395,9248,240,254.39657454572364,10.59825400079717,15437.255361997813,52.76562001064396,41.770103192018766,41.116542237337896,240,260,280,290,310,330,350,360,6800,15000,15000
POST,/orders/pessimistic,16037,15972,7,12.716272587063061,2.8893169983348344,14835.32364599887,52.933902849660164,71.30038796066046,71.0113984228764,7,8,9,9,11,15,27,48,250,14000,15000
GET,/stocks,2518,1298,6,6.879302165195583,2.6056550013890956,54.167860998859396,195.86100079428118,11.195010094465488,5.770898769903178,6,7,8,8,10,12,16,21,53,54,54
,Aggregated,27950,26518,9,93.42786276163767,2.6056550013890956,15437.255361997813,65.75355992844365,124.26550124714471,117.89883943011748,9,51,200,230,270,300,320,340,1000,14000,15000
