Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,2596,1788,240,207.73014504661168,18.783448000249336,518.3445999991818,47.34476117103236,43.24726695429509,29.786638410739457,240,270,290,300,330,360,390,420,500,520,520
POST,/orders/pessimistic,3824,2737,20,27.726591906388094,7.369556000412558,278.02752799834707,47.86061715481171,63.70475686950094,45.59621327192052,20,27,33,38,54,74,98,120,200,280,280
GET,/stocks,623,0,13,17.633289444607467,4.635932000383036,270.7990830003837,124.04012841091493,10.378677701281141,0.0,13,17,21,23,31,40,61,72,270,270,270
,Aggregated,7043,4525,31,93.181809358941,4.635932000383036,518.3445999991818,54.409058639784185,117.33070152507717,75.38285168265998,31,61,170,220,290,320,360,380,450,520,520
