Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,3667,2932,20,46.77787386693545,5.595358001301065,1221.972283001378,52.45895827652031,61.09170303269361,48.84670665172011,20,32,42,49,84,160,350,490,1000,1200,1200
POST,/orders/pessimistic,3912,3055,11,21.853451234917156,2.979995999339735,161.0754569992423,52.41308793456033,65.1733684930181,50.89586931139323,11,17,30,38,55,70,89,100,140,160,160
GET,/stocks,779,0,9,17.36640197820759,2.908722002757713,93.41726400089101,123.50449293966624,12.97803017792973,0.0,9,17,23,28,41,52,68,74,93,93,93
,Aggregated,8358,5987,15,32.37061400359793,2.908722002757713,1221.972283001378,59.05922469490309,139.24310170364146,99.74257596311334,15,25,35,42,63,91,170,310,910,1200,1200
